,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,civid
1051,377,Al,Green,Texas,Co,128,INTRODUCED,Senator,
1052,377,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1053,377,,Davis,California,Co,403,INTRODUCED,Senator,
1054,377,,Brownley,California,Co,92,INTRODUCED,Senator,
1055,377,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,
1056,377,,Larsen,Washington,Co,83,INTRODUCED,Senator,
1057,377,,Clarke,New York,Co,330,INTRODUCED,Senator,
1058,377,,Larson,Connecticut,Co,342,INTRODUCED,Senator,
1059,377,,Frankel,Florida,Co,279,INTRODUCED,Senator,
1060,377,,Frankel,Florida,Co,277,INTRODUCED,Senator,
1061,377,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,
1062,377,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,
1063,377,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
1064,377,,Rice,New York,Co,335,INTRODUCED,Senator,
1065,377,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
1066,377,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
1067,377,,Brady,Pennsylvania,Co,316,INTRODUCED,Senator,
1068,377,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Senator,
1069,377,,Smith,Washington,Co,357,INTRODUCED,Senator,340
1070,377,,Thompson,California,Co,354,INTRODUCED,Senator,
1071,377,,Price,North Carolina,Co,288,INTRODUCED,Senator,
1072,377,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
1073,377,,Higgins,New York,Co,290,INTRODUCED,Senator,
1074,378,,Franks,Arizona,Co,416,INTRODUCED,Senator,
1075,383,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
1076,383,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
1077,383,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
1078,383,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1079,383,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1080,383,,Smith,Washington,Co,357,INTRODUCED,Senator,340
1081,384,,Brown,Maryland,Co,304,INTRODUCED,Senator,42
1082,384,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1083,384,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,
1084,384,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,
1085,384,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1086,393,,Costello,Pennsylvania,Co,308,INTRODUCED,Senator,
1087,393,,Kuster,New Hampshire,Co,345,INTRODUCED,Senator,
1088,402,,Smith,Missouri,Co,150,INTRODUCED,Senator,340
1089,403,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
1090,406,,Scott,Virginia,Primary,52,INTRODUCED,Senator,328
1091,406,,Davis,California,Co,403,INTRODUCED,Senator,
1092,407,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1093,407,,Clarke,New York,Co,330,INTRODUCED,Senator,
1094,408,Judy,Chu,California,Co,388,INTRODUCED,Senator,
1095,408,,Clarke,New York,Co,330,INTRODUCED,Senator,
1096,408,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator,
1097,408,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator,
1098,410,,Mooney,West Virginia,Co,251,INTRODUCED,Senator,
1099,415,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
1100,415,Maxine,Waters,California,Co,383,INTRODUCED,Senator,
1101,415,,Bishop,Georgia,Co,9,INTRODUCED,Senator,
1102,415,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
1103,415,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
1104,415,,Scott,Virginia,Co,52,INTRODUCED,Senator,328
1105,415,,Thompson,Mississippi,Co,155,INTRODUCED,Senator,
1106,415,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
1107,415,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
1108,415,David,Scott,Georgia,Co,230,INTRODUCED,Senator,328
1109,415,David,Scott,Georgia,Co,216,INTRODUCED,Senator,328
1110,415,Al,Green,Texas,Co,132,INTRODUCED,Senator,
1111,415,Al,Green,Texas,Co,128,INTRODUCED,Senator,
1112,415,,Clarke,New York,Co,330,INTRODUCED,Senator,
1113,415,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1114,415,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1115,415,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
1116,415,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1117,415,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
1118,415,,Brown,Maryland,Co,304,INTRODUCED,Senator,42
1119,415,,Lawson,Florida,Co,249,INTRODUCED,Senator,
1120,419,,Rice,South Carolina,Co,272,INTRODUCED,Senator,
1121,420,,Esty,Connecticut,Co,337,INTRODUCED,Senator,119
1122,423,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
1123,423,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1124,423,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
1125,423,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator,
1126,423,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator,
1127,423,Judy,Chu,California,Co,388,INTRODUCED,Senator,
1128,423,,Kuster,New Hampshire,Co,345,INTRODUCED,Senator,
1129,428,,Carson,Indiana,Co,202,INTRODUCED,Senator,
1130,431,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,
1131,431,,Frankel,Florida,Co,279,INTRODUCED,Senator,
1132,431,,Frankel,Florida,Co,277,INTRODUCED,Senator,
1133,431,,Brooks,Indiana,Co,201,INTRODUCED,Senator,
1134,431,Judy,Chu,California,Co,388,INTRODUCED,Senator,
1135,431,,Jenkins,Kansas,Co,118,INTRODUCED,Senator,
1136,431,,Brownley,California,Co,92,INTRODUCED,Senator,
1137,431,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
1138,431,,Clarke,New York,Co,330,INTRODUCED,Senator,
1139,431,,Wilson,Florida,Co,278,INTRODUCED,Senator,
1140,431,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
1141,431,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
1142,431,,Davis,California,Co,403,INTRODUCED,Senator,
1143,431,,Esty,Connecticut,Co,337,INTRODUCED,Senator,119
1144,432,Al,Green,Texas,Co,132,INTRODUCED,Senator,
1145,432,Al,Green,Texas,Co,128,INTRODUCED,Senator,
1146,434,Judy,Chu,California,Co,388,INTRODUCED,Senator,
1147,437,Ted,Lieu,California,Co,378,INTRODUCED,Senator,
1148,439,,Smith,Washington,Co,357,INTRODUCED,Senator,340
1149,442,,Scott,Virginia,Primary,52,PLACED_ON_CALENDAR,Senator,328
1150,442,,Ryan,Ohio,Co,262,PLACED_ON_CALENDAR,Senator,
1151,442,,Wilson,Florida,Co,278,PLACED_ON_CALENDAR,Senator,
1152,442,,Sewell,Alabama,Co,172,PLACED_ON_CALENDAR,Senator,
1153,442,,Clarke,New York,Co,330,PLACED_ON_CALENDAR,Senator,
1154,442,Ted,Lieu,California,Co,378,PLACED_ON_CALENDAR,Senator,
1155,442,,Johnson,Georgia,Co,0,PLACED_ON_CALENDAR,Senator,184
1156,442,Brendan F,Boyle,Pennsylvania,Co,315,PLACED_ON_CALENDAR,Senator,
1157,442,,Brady,Pennsylvania,Co,316,PLACED_ON_CALENDAR,Senator,
1158,442,Gene,Green,Texas,Co,132,PLACED_ON_CALENDAR,Senator,
1159,442,Gene,Green,Texas,Co,128,PLACED_ON_CALENDAR,Senator,
1160,442,,Castor,Florida,Co,42,PLACED_ON_CALENDAR,Senator,
1161,449,,Murphy,Florida,Co,264,PLACED_ON_CALENDAR,Senator,254
1162,453,,Scott,Virginia,Co,52,PLACED,Senator,328
1163,453,,Clarke,New York,Co,330,PLACED,Senator,
1164,453,Carolyn B,Maloney,New York,Co,329,PLACED,Senator,
1165,453,Carolyn B,Maloney,New York,Co,322,PLACED,Senator,
1166,453,,Davis,California,Co,403,PLACED,Senator,
1167,454,,Franks,Arizona,Co,416,PLACED,Senator,
1168,454,Jody B,Hice,Georgia,Co,229,PLACED,Senator,
1169,454,,Bishop,Utah,Co,414,PLACED,Senator,
1170,454,,Duncan,South Carolina,Co,236,PLACED,Senator,
1171,455,Brendan F,Boyle,Pennsylvania,Co,315,PLACED,Senator,
1172,455,,Clarke,New York,Co,330,PLACED,Senator,
1173,455,,Rice,New York,Co,335,PLACED,Senator,
1174,455,,Frankel,Florida,Co,279,PLACED,Senator,
1175,455,,Frankel,Florida,Co,277,PLACED,Senator,
1176,455,Carolyn B,Maloney,New York,Co,329,PLACED,Senator,
1177,455,Carolyn B,Maloney,New York,Co,322,PLACED,Senator,
1178,455,,Thompson,California,Co,354,PLACED,Senator,
1179,455,,Higgins,New York,Co,290,PLACED,Senator,
1180,455,,Smith,Washington,Co,357,PLACED,Senator,340
1181,455,Danny K,Davis,Illinois,Co,187,PLACED,Senator,
1182,455,Danny K,Davis,Illinois,Co,158,PLACED,Senator,
1183,455,,Clark,Massachusetts,Co,347,PLACED,Senator,
1184,455,,Brownley,California,Co,92,PLACED,Senator,
1185,455,,Castor,Florida,Co,42,PLACED,Senator,
1186,455,,Wilson,Florida,Co,278,PLACED,Senator,
1187,455,David,Scott,Georgia,Co,230,PLACED,Senator,328
1188,455,David,Scott,Georgia,Co,216,PLACED,Senator,328
1189,455,Michael F,Doyle,Pennsylvania,Co,282,PLACED,Senator,
1190,455,Ted,Lieu,California,Co,378,PLACED,Senator,
1191,455,,Swalwell,California,Co,361,PLACED,Senator,
1192,455,,Ryan,Ohio,Co,262,PLACED,Senator,
1193,455,,Carson,Indiana,Co,202,PLACED,Senator,
1194,455,,Brady,Pennsylvania,Co,316,PLACED,Senator,
1195,455,Gene,Green,Texas,Co,132,PLACED,Senator,
1196,455,Gene,Green,Texas,Co,128,PLACED,Senator,
1197,455,,Lawson,Florida,Co,249,PLACED,Senator,
1198,455,,Bishop,Georgia,Co,9,PLACED,Senator,
1199,455,,Davis,California,Co,403,PLACED,Senator,
1200,455,Sean P,Maloney,New York,Co,329,PLACED,Senator,
1201,455,Sean P,Maloney,New York,Co,322,PLACED,Senator,
1202,455,Eddie B,Johnson,Texas,Co,117,PLACED,Senator,184
1203,455,Eddie B,Johnson,Texas,Co,113,PLACED,Senator,184
1204,455,,Murphy,Florida,Co,264,PLACED,Senator,254
1205,455,,Price,North Carolina,Co,288,PLACED,Senator,
1206,455,,Sewell,Alabama,Co,172,PLACED,Senator,
1207,455,Judy,Chu,California,Co,388,PLACED,Senator,
1208,455,,Larsen,Washington,Co,83,PLACED,Senator,
1209,455,Al,Green,Texas,Co,132,PLACED,Senator,
1210,455,Al,Green,Texas,Co,128,PLACED,Senator,
1211,455,,Kuster,New Hampshire,Co,345,PLACED,Senator,
1212,455,,Larson,Connecticut,Co,342,PLACED,Senator,
1213,455,,Scott,Virginia,Co,52,PLACED,Senator,328
1214,455,,Johnson,Georgia,Co,0,PLACED,Senator,184
1215,455,,Kelly,Illinois,Co,177,PLACED,Senator,
1216,455,,Brown,Maryland,Co,304,PLACED,Senator,42
1217,455,,Lewis,Georgia,Co,221,PLACED,Senator,
1218,455,,Gonzalez,Texas,Co,98,PLACED,Senator,
1219,455,,Castro,Texas,Co,99,PLACED,Senator,
1220,455,,Thompson,Mississippi,Co,155,PLACED,Senator,
1221,455,Maxine,Waters,California,Co,383,PLACED,Senator,
1222,455,,Smith,New Jersey,Co,323,PLACED,Senator,340
1223,456,,Scott,Virginia,Co,52,PLACED,Senator,328
1224,456,,Smith,Washington,Co,357,PLACED,Senator,340
1225,456,Sean P,Maloney,New York,Co,329,PLACED,Senator,
1226,456,Sean P,Maloney,New York,Co,322,PLACED,Senator,
1227,458,,Curbelo,Florida,Primary,45,RECEIVED,Senator,
1228,461,,Scott,Virginia,Primary,52,REFERRED,Senator,328
1229,461,,Wilson,Florida,Co,278,REFERRED,Senator,
1230,461,,Frankel,Florida,Co,279,REFERRED,Senator,
1231,461,,Frankel,Florida,Co,277,REFERRED,Senator,
1232,461,,Carson,Indiana,Co,202,REFERRED,Senator,
1233,461,,Clark,Massachusetts,Co,347,REFERRED,Senator,
1234,461,,Castro,Texas,Co,99,REFERRED,Senator,
1235,461,,Davis,California,Co,403,REFERRED,Senator,
1236,467,,Smith,New Jersey,Primary,323,REFERRED,Senator,340
