,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
429,140,,Smith,Washington,Co,357,ENROLLED,Representative
430,140,,Costello,Pennsylvania,Co,308,ENROLLED,Representative
431,140,Rodney,Davis,Illinois,Co,187,ENROLLED,Representative
432,140,Rodney,Davis,Illinois,Co,158,ENROLLED,Representative
433,140,,Frankel,Florida,Co,279,ENROLLED,Representative
434,140,,Frankel,Florida,Co,277,ENROLLED,Representative
435,140,,Young,Alaska,Co,77,ENROLLED,Representative
436,140,Thomas J,Rooney,Florida,Co,248,ENROLLED,Representative
437,140,Thomas J,Rooney,Florida,Co,43,ENROLLED,Representative
438,140,,King,New York,Co,336,ENROLLED,Representative
439,140,Mimi,Walters,California,Co,394,ENROLLED,Representative
440,142,,Lewis,Georgia,Primary,221,INTRODUCED,Senator
441,148,Judy,Chu,California,Co,388,INTRODUCED,Representative
442,148,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
443,148,,Kelly,Illinois,Co,177,INTRODUCED,Representative
444,148,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
445,148,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
446,149,,Lawson,Florida,Co,249,,
447,149,Judy,Chu,California,Co,388,,
448,149,,Clarke,New York,Co,330,,
449,151,Brendan F,Boyle,Pennsylvania,Primary,315,,
450,152,,Johnson,Georgia,Primary,0,INTRODUCED,Representative
451,152,,Lewis,Georgia,Co,221,INTRODUCED,Representative
452,152,,Clarke,New York,Co,330,INTRODUCED,Representative
453,152,,Wilson,Florida,Co,278,INTRODUCED,Representative
454,152,David,Scott,Georgia,Co,230,INTRODUCED,Representative
455,152,David,Scott,Georgia,Co,216,INTRODUCED,Representative
456,153,,Scott,Virginia,Primary,52,INTRODUCED,Senator
457,153,,Young,Iowa,Co,125,INTRODUCED,Senator
458,156,,Clarke,New York,Co,330,REFERRED,Senator
459,156,,Kelly,Illinois,Co,177,REFERRED,Senator
460,156,,Ryan,Ohio,Co,262,REFERRED,Senator
461,156,,Carson,Indiana,Co,202,REFERRED,Senator
462,156,,Castor,Florida,Co,42,REFERRED,Senator
463,156,,Wilson,Florida,Co,278,REFERRED,Senator
464,156,,Johnson,Georgia,Co,0,REFERRED,Senator
465,156,,Thompson,Mississippi,Co,155,REFERRED,Senator
466,156,David,Scott,Georgia,Co,230,REFERRED,Senator
467,156,David,Scott,Georgia,Co,216,REFERRED,Senator
468,156,Ted,Lieu,California,Co,378,REFERRED,Senator
469,156,,Lewis,Georgia,Co,221,REFERRED,Senator
470,156,Eddie B,Johnson,Texas,Co,117,REFERRED,Senator
471,156,Eddie B,Johnson,Texas,Co,113,REFERRED,Senator
472,156,,Brown,Maryland,Co,304,REFERRED,Senator
473,156,,Lawson,Florida,Co,249,REFERRED,Senator
474,156,Sean P,Maloney,New York,Co,329,REFERRED,Senator
475,156,Sean P,Maloney,New York,Co,322,REFERRED,Senator
476,158,,King,New York,Primary,336,INTRODUCED,Senator
477,158,,Carter,Georgia,Co,44,INTRODUCED,Senator
478,158,,Bishop,Georgia,Co,9,INTRODUCED,Senator
479,158,,Wilson,South Carolina,Co,254,INTRODUCED,Senator
480,158,,Joyce,Ohio,Co,261,INTRODUCED,Senator
481,158,,Ryan,Ohio,Co,262,INTRODUCED,Senator
482,161,,Thompson,Pennsylvania,Primary,280,,
483,163,,Price,North Carolina,Co,288,INTRODUCED,Representative
484,166,,Ryan,Ohio,Co,262,,
