,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
398,112,,Kelly,Illinois,Co,177,,,
399,112,Al,Green,Texas,Co,132,,,
400,112,Al,Green,Texas,Co,128,,,
401,112,,Thompson,Mississippi,Co,155,,,
402,115,,Curbelo,Florida,Co,45,,,
403,115,,Young,Alaska,Co,77,,,
404,124,,Johnson,Georgia,Co,0,INTRODUCED,Representative,A BILL
405,124,,Bishop,Georgia,Co,9,INTRODUCED,Representative,A BILL
406,124,,Sewell,Alabama,Co,172,INTRODUCED,Representative,A BILL
407,124,,Thompson,Mississippi,Co,155,INTRODUCED,Representative,A BILL
408,124,,Price,North Carolina,Co,288,INTRODUCED,Representative,A BILL
409,124,,Higgins,New York,Co,290,INTRODUCED,Representative,A BILL
410,124,,Lawson,Florida,Co,249,INTRODUCED,Representative,A BILL
411,124,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
412,124,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative,A BILL
413,124,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative,A BILL
414,124,David,Scott,Georgia,Co,230,INTRODUCED,Representative,A BILL
415,124,David,Scott,Georgia,Co,216,INTRODUCED,Representative,A BILL
416,124,,Wilson,Florida,Co,278,INTRODUCED,Representative,A BILL
417,124,,Kelly,Illinois,Co,177,INTRODUCED,Representative,A BILL
418,124,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
419,124,Al,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
420,125,,Poe,Texas,Co,129,,,
421,125,,Kuster,New Hampshire,Co,345,,,
422,135,,Kelly,Illinois,Co,177,,,
423,135,,Sewell,Alabama,Co,172,,,
424,135,,Bishop,Georgia,Co,9,,,
425,135,,Brady,Pennsylvania,Co,316,,,
426,135,,Swalwell,California,Co,361,,,
427,140,,Murphy,Pennsylvania,Primary,275,ENROLLED,Representative,AN ACT
428,140,,Johnson,Georgia,Co,0,ENROLLED,Representative,AN ACT
429,140,,Smith,Washington,Co,357,ENROLLED,Representative,AN ACT
430,140,,Costello,Pennsylvania,Co,308,ENROLLED,Representative,AN ACT
431,140,Rodney,Davis,Illinois,Co,187,ENROLLED,Representative,AN ACT
432,140,Rodney,Davis,Illinois,Co,158,ENROLLED,Representative,AN ACT
433,140,,Frankel,Florida,Co,279,ENROLLED,Representative,AN ACT
434,140,,Frankel,Florida,Co,277,ENROLLED,Representative,AN ACT
